,CaseID
0,02060847/2015
1,02158618/2015
2,02182500/2015
3,02182527/2015
4,02219846/2015
5,02232699/2015
6,02233849/2015
7,02362320/2015
8,02381198/2015
9,02475478/2015
10,02503420/2015
11,02681701/2015
12,02772847/2015
13,03029862/2015
14,03155612/2015
15,03242809/2015
16,03244054/2015
17,03255161/2015
18,03324155/2015
19,03350156/2015
20,03364793/2015
21,03460261/2015
22,03663839/2015
23,03701650/2015
24,03702753/2015
25,03800070/2015
26,03848073/2015
27,03879548/2015
28,03895055/2015
29,03986018/2015
30,03993324/2015
31,03995645/2015
32,04000221/2015
33,04007897/2015
34,04191400/2015
35,04276502/2015
36,04276820/2015
37,04293423/2015
38,04323020/2015
39,04408174/2015
40,04453099/2015
41,04681610/2015
42,04685666/2015
43,04794562/2015
44,04809764/2015
45,05075993/2015
46,05171895/2015
47,05193929/2015
48,05370855/2015
49,05410547/2015
50,05450093/2015
51,05458566/2015
52,05463071/2015
53,05484222/2015
54,05553798/2015
55,05554026/2015
56,05686720/2015
57,05719360/2015
58,05874136/2015
59,06048701/2015
60,06106221/2015
61,06214270/2015
62,06214946/2015
63,06347318/2015
64,06381486/2015
65,06601745/2015
66,06604663/2015
67,06605341/2015
68,06614766/2015
69,06639394/2015
70,06728044/2015
71,06745097/2015
72,06745100/2015
73,06773597/2015
74,06776561/2015
75,06777290/2015
76,06802767/2015
77,06890984/2015
78,06899396/2015
79,06902672/2015
80,06903822/2015
81,06904098/2015
82,06956373/2015
83,07002845/2015
84,07072959/2015
85,07075044/2015
86,07076679/2015
87,07084116/2015
88,07116433/2015
89,07116506/2015
90,07139875/2015
91,07150976/2015
92,07163733/2015
93,07165280/2015
94,07166490/2015
95,07173470/2015
96,07175758/2015
97,07184587/2015
98,07194183/2015
99,07199363/2015
100,07206327/2015
101,07217299/2015
102,07222462/2015
103,07233421/2015
104,07239179/2015
105,07263711/2015
106,07264475/2015
107,07280195/2015
108,07322742/2015
109,07362108/2015
110,07375374/2015
111,07391507/2015
112,07398200/2015
113,07409732/2015
114,07422623/2015
115,07447936/2015
116,07451054/2015
117,07455238/2015
118,07456374/2015
119,07456641/2015
120,07463494/2015
121,07465837/2015
122,07475212/2015
123,07502007/2015
124,07509850/2015
125,07509877/2015
126,07527689/2015
127,07528219/2015
128,07535240/2015
129,07535630/2015
130,07536890/2015
131,07540308/2015
132,07545261/2015
133,07546071/2015
134,07546179/2015
135,07547078/2015
136,07548899/2015
137,07549283/2015
138,07550800/2015
139,07550940/2015
140,07551130/2015
141,07551172/2015
142,07551210/2015
143,07551253/2015
144,07551377/2015
145,07551466/2015
146,07551970/2015
147,07557758/2015
148,07563219/2015
149,07638286/2015
150,07638553/2015
151,07655504/2015
152,07655555/2015
153,07655709/2015
154,07663990/2015
155,07672158/2015
156,07678130/2015
157,07715760/2015
158,07718999/2015
159,07737349/2015
160,07749789/2015
161,07756971/2015
162,07760430/2015
163,07763277/2015
164,07779262/2015
165,07787842/2015
166,07796957/2015
167,07834379/2015
168,07858715/2015
169,07879178/2015
170,07883701/2015
171,07890066/2015
172,07895653/2015
173,07895688/2015
174,07900495/2015
175,07908305/2015
176,07909379/2015
177,07931510/2015
178,07938247/2015
179,07945200/2015
180,07960811/2015
181,07979270/2015
182,07985105/2015
183,08016335/2015
184,08027957/2015
185,08029054/2015
186,08031687/2015
187,08047036/2015
188,08056515/2015
189,08060610/2015
190,08115546/2015
191,08163036/2015
192,08175867/2015
193,08182910/2015
194,08183487/2015
195,08185404/2015
196,08185579/2015
197,08185650/2015
198,08186451/2015
199,08186729/2015
200,08187466/2015
201,08193253/2015
202,08206886/2015
203,08207378/2015
204,08207785/2015
205,08207874/2015
206,08207882/2015
207,00016266/2016
208,00039142/2016
209,00066328/2016
210,00078121/2016
211,00079705/2016
212,00179785/2016
213,00183049/2016
214,00213975/2016
215,00476054/2016
216,00553113/2016
217,00572134/2016
218,00605440/2016
219,00719470/2016
220,00814642/2016
221,00829895/2016
222,00851777/2016
223,00931088/2016
224,00931770/2016
225,00996287/2016
226,01033431/2016
227,01051014/2016
228,01066194/2016
229,01116744/2016
230,01135676/2016
231,01198325/2016
232,01227740/2016
233,01318436/2016
234,01321330/2016
235,01333931/2016
236,01543693/2016
237,01730876/2016
238,01730957/2016
239,01798578/2016
240,01898335/2016
241,01926444/2016
242,01931626/2016
243,01953328/2016
244,02025394/2016
245,02056290/2016
246,02084340/2016
247,02215444/2016
248,02244592/2016
249,02244738/2016
250,02253575/2016
251,02327692/2016
252,02328141/2016
253,02375913/2016
254,02398662/2016
255,02506066/2016
256,02509340/2016
257,02605978/2016
258,02629419/2016
259,02643420/2016
260,02644620/2016
261,02673426/2016
262,02680376/2016
263,02699093/2016
264,02724730/2016
265,02734549/2016
266,02734867/2016
267,02736070/2016
268,02737181/2016
269,02737262/2016
270,02759665/2016
271,02760710/2016
272,02761945/2016
273,02793898/2016
274,02862970/2016
275,02940076/2016
276,03029296/2016
277,03150583/2016
278,03174326/2016
279,03190291/2016
